sample_type,province,location,season,lon,lat,antibiotic,median_concentration,concentration_unit,sample_year,reference_number
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Ciprofloxacin,2.6,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Enrofloxacin,0.2,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Erythromycin,0.1,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Norfloxacin,0.4,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Oxytetracycline,11.6,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Roxithromycin,0.2,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Sulfadiazine,0.019,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Sulfadimidine,0.04,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Sulfamethoxazole,0.1,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Tetracycline,6.3,ng/g,2019,58
sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,Trimethoprim,0.3,ng/g,2019,58
sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,Enrofloxacin,33.6,ng/g,2015,124
sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,Oxytetracycline,4.26,ng/g,2015,124
sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,Sulfadiazine,117,ng/g,2015,124
sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,Sulfamethoxazole,94.6,ng/g,2015,124
sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,Tetracycline,11.5,ng/g,2015,124
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Chloramphenicol,1.1,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Chlortetracycline,7.199999999999999,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Ciprofloxacin,38.1,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Enrofloxacin,5.199999999999999,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Erythromycin,6.1,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Florfenicol,11.8,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Norfloxacin,16.15,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Ofloxacin,0.8,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Oxytetracycline,7.25,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Roxithromycin,2.15,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Sulfadiazine,9.5,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Sulfadimidine,5.65,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Sulfamethoxazole,1.95,ng/g,2017,69
sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,Tetracycline,7.75,ng/g,2017,69
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Chlortetracycline,4.6937500000000005,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Ciprofloxacin,1.02625,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Doxycycline,0.7625,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Enrofloxacin,0.525,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Erythromycin,0.28875,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Flumequine,0.1375,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Norfloxacin,3.5925,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Ofloxacin,2.085,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Oxytetracycline,1.8574999999999997,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Sulfadiazine,0.06,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Sulfadimidine,0.6250000000000001,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Sulfameter,0.005,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Sulfamonomethoxine,0.44000000000000006,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Tetracycline,0.5,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Tilmicosin,0.26,ng/g,NA,221
sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,Tylosin,0.11375,ng/g,NA,221
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Chlortetracycline,0.42,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Doxycycline,9.340000000000002,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Oxytetracycline,7.4,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Sulfadiazine,0.12,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Sulfadimidine,0.26,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Sulfamerazine,0.05,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Sulfamethoxazole,0.13,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Sulfapyridine,0.09,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Sulfaquinoxaline,0.04,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Sulfathiazole,0.03,ng/g,2013,164
sediment,Guangdong,Guangdong,3,116.681972,23.354091,Tetracycline,6.45,ng/g,2013,164
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Chlortetracycline,1.235,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Ciprofloxacin,4.0725,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Doxycycline,13.6325,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Enrofloxacin,366.75,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Norfloxacin,0.8625,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Oxytetracycline,1.49395,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfadimidine,3.905,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfamethoxazole,1.63125,ng/g,NA,169
sediment,Guangdong,Guangdong,NA,113.26653,23.132191,Sulfamethoxydiazine,1.2175,ng/g,NA,169
sediment,Guangdong,Guangdong Beijiang river,NA,113.516,24.8,Chloramphenicol,3.1,ng/g,2013,177
sediment,Guangdong,Guangdong Beijiang river,NA,113.516,24.8,Clarithromycin,207.8,ng/g,2013,177
sediment,Guangdong,Guangdong Beijiang river,NA,113.516,24.8,Ofloxacin,22,ng/g,2013,177
sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,Enrofloxacin,1.205,ng/g,2015,117
sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,Lincomycin,1.475,ng/g,2015,117
sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,Norfloxacin,1.685,ng/g,2015,117
sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,Ofloxacin,0.77,ng/g,2015,117
sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,Sulfapyridine,0.01,ng/g,2015,117
sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Ciprofloxacin,119,ng/g,2008,187
sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Enrofloxacin,27,ng/g,2008,187
sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Norfloxacin,258,ng/g,2008,187
sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,Ofloxacin,98,ng/g,2008,187
sediment,Guangdong,Guangdong Guangzhou Baiyun district,9,113.273289,23.15729,Chloramphenicol,195.7,ng/g,2006,5
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Chlortetracycline,4.055,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Ciprofloxacin,78.1,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Norfloxacin,288.88,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Oxytetracycline,221,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Roxithromycin,3.45,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Sulfadimidine,0.745,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Sulfapyridine,0.62,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,Tetracycline,57.6,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Chlortetracycline,20.2,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Ciprofloxacin,98.4,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Norfloxacin,208,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Oxytetracycline,287,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Roxithromycin,13.3,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Sulfadimethoxine,0.28,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Sulfadimidine,1.58,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Sulfapyridine,0.82,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,Tetracycline,35.4,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,Enrofloxacin,1.205,ng/g,2015,163
sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,Norfloxacin,1.685,ng/g,2015,163
sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,Ofloxacin,0.77,ng/g,2015,163
sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,Sulfadiazine,0.01,ng/g,2015,163
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Chlortetracycline,0.69,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Ciprofloxacin,74.4,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Norfloxacin,255,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Oxytetracycline,18.6,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Roxithromycin,2.19,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Sulfadimidine,0.83,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Sulfapyridine,0.22,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,Tetracycline,6.14,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Chlortetracycline,2.53,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Ciprofloxacin,57.6,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Norfloxacin,27.5,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Oxytetracycline,9.420000000000002,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Roxithromycin,0.82,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Sulfadimidine,0.31,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Sulfapyridine,0.61,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,Tetracycline,4.24,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.361111,23.166667,Chlortetracycline,3.62,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.412222,25.14,Ciprofloxacin,29.1,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.361111,23.166667,Norfloxacin,105,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.357222,23.17,Oxytetracycline,20.4,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.412222,25.14,Roxithromycin,1.21,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.3925,27.125278,Sulfadimethoxine,0.04,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.361111,23.166667,Sulfadimidine,0.59,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.361111,23.166667,Sulfapyridine,0.17,ng/g,NA,31
sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.357222,23.17,Tetracycline,7.38,ng/g,NA,31
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Cephalexin,12.6,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Ciprofloxacin,16.4,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Doxycycline,3.9,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Lincomycin,2.98,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Norfloxacin,30.3,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Ofloxacin,6.93,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Oxytetracycline,38.5,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Penicillin G,4.84,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Penicillin V,16.3,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Sulfadiazine,7.55,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Sulfamonomethoxine,7.77,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Sulfaquinoxaline,2.81,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Tetracycline,39,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan County Fengshuba reservoir,NA,115.42125635972,24.468389441173,Tylosin,0.61,ng/g,2015,50
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Cephalexin,12.6,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Ciprofloxacin,16.4,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Doxycycline,5.2,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Erythromycin-H2O,3,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Lincomycin,6.4,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Norfloxacin,30.3,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Ofloxacin,6.9,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Oxytetracycline,44.6,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Penicillin G,4.8,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Penicillin V,16.3,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Sulfadiazine,7.6,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Sulfamonomethoxine,7.8,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Sulfaquinoxaline,2.8,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Tetracycline,40,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Tylosin,0.6,ng/g,2015,123
sediment,Guangdong,Guangdong Heyuan Longchuan Fengshuba reservoir,7,115.400457,24.454988,Vancomycin,1.4,ng/g,2015,123
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Cefotaxime,0.3,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Ciprofloxacin,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Clarithromycin,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Erythromycin-H2O,0.04,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Flumequine,0.03,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Isochlortetracycline,0.02,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Norfloxacin,2.2,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Ofloxacin,0.4,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Oxytetracycline,1.1,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Roxithromycin,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Tetracycline,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Huizhou Huiyang district Daya Bay,NA,114.552222,22.687778,Trimethoprim,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Maoming,NA,110.925456,21.662999,Clarithromycin,2.98,ng/g,2017,68
sediment,Guangdong,Guangdong Maoming,NA,110.925456,21.662999,Enrofloxacin,2.325,ng/g,2017,68
sediment,Guangdong,Guangdong Maoming,NA,110.925456,21.662999,Erythromycin-H2O,53.24,ng/g,2017,68
sediment,Guangdong,Guangdong Maoming,NA,110.925456,21.662999,Lomefloxacin,0.26,ng/g,2017,68
sediment,Guangdong,Guangdong Maoming,NA,110.925456,21.662999,Norfloxacin,2.32,ng/g,2017,68
sediment,Guangdong,Guangdong Pearl river Estuary,1,113.66667,22.6,Enrofloxacin,1.24,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,1,113.66667,22.6,Erythromycin-H2O,2.65,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,1,113.66667,22.6,Norfloxacin,8.08,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,1,113.66667,22.6,Ofloxacin,3.5,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,1,113.66667,22.6,Roxithromycin,6.1,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,1,113.66667,22.6,Sulfadimidine,1.58,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,1,113.66667,22.6,Tetracycline,2.64,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,8,113.66667,22.6,Enrofloxacin,1.03,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,8,113.66667,22.6,Erythromycin-H2O,2.74,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,8,113.66667,22.6,Norfloxacin,7.16,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,8,113.66667,22.6,Ofloxacin,3.77,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,8,113.66667,22.6,Roxithromycin,13.5,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,8,113.66667,22.6,Sulfadimidine,0.9,ng/g,2011,193
sediment,Guangdong,Guangdong Pearl river Estuary,8,113.66667,22.6,Tetracycline,1.9,ng/g,2011,193
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Cefotaxime,0.3,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Ciprofloxacin,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Clarithromycin,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Erythromycin-H2O,0.04,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Flumequine,0.03,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Isochlortetracycline,0.02,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Norfloxacin,2.2,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Ofloxacin,0.4,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Oxytetracycline,1.1,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Roxithromycin,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Tetracycline,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Shanwei Honghai Bay,NA,115.556667,22.756111,Trimethoprim,0.2,ng/g,2014,43
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Chloramphenicol,14.05,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Chlortetracycline,17.3,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Ciprofloxacin,10.25,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Enrofloxacin,9.3,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Erythromycin,1.75,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Florfenicol,10.95,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Norfloxacin,39.1,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Ofloxacin,10.05,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Oxytetracycline,16,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Roxithromycin,2.65,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Sulfadiazine,8.15,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Sulfadimidine,6.3,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Sulfamethoxazole,13.65,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,12,114.057868,22.543099,Tetracycline,6.8,ng/g,2017,69
sediment,Guangdong,Guangdong Shenzhen,NA,114.057868,22.543099,Sulfadiazine,139.168,ng/g,NA,37
sediment,Guangdong,Guangdong Shenzhen,NA,114.057868,22.543099,Sulfathiazole,397.168,ng/g,NA,37
sediment,Guangdong,Guangdong Shenzhen Longgang district Dapeng’ao in Daya Bay,11,114.53125,22.55,Ciprofloxacin,1.59,ng/g,2007,161
sediment,Guangdong,Guangdong Shenzhen Longgang district Dapeng’ao in Daya Bay,11,114.53125,22.55,Norfloxacin,5.78,ng/g,2007,161
sediment,Guangdong,Guangdong Shenzhen Maozhou river,NA,113.828157,22.760444,Norfloxacin,0.11,ng/g,NA,37
sediment,Guangdong,Guangdong Shenzhen Maozhou river,NA,113.828157,22.760444,Ofloxacin,0.96,ng/g,NA,37
sediment,Guangdong,Guangdong Shenzhen Maozhou river,NA,113.828157,22.760444,Roxithromycin,2.86,ng/g,NA,37
sediment,Guangdong,Guangdong Shenzhen Maozhou river,NA,113.828157,22.760444,Sulfadiazine,437.28,ng/g,NA,37
sediment,Guangdong,Guangdong Shenzhen Maozhou river,NA,113.828157,22.760444,Sulfadimidine,3.81,ng/g,NA,37
sediment,Guangdong,Guangdong Shenzhen Maozhou river,NA,113.828157,22.760444,Sulfathiazole,1351.39,ng/g,NA,37
sediment,Guangdong,Guangdong Yangjiang Jiangcheng district Hailing Bay,NA,111.81,21.578889,Cefotaxime,0.3,ng/g,2014,43
