sample_type,matrix,province,sample_year,antibiotic,antibiotic_class,mean_concentration,max_concentration,concentration_unit,reference_number
sediment,sediment,Guangdong,2017,Ciprofloxacin,Fluoroquinolones,162.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Clarithromycin,Macrolides,2.98,5.3,ng/g,68
sediment,sediment,Guangdong,2017,Enrofloxacin,Fluoroquinolones,0.55,NA,ng/g,69
sediment,sediment,Guangdong,2017,Enrofloxacin,Fluoroquinolones,2.325,4.17,ng/g,68
sediment,sediment,Guangdong,2017,Enrofloxacin,Fluoroquinolones,9.3,NA,ng/g,69
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,0,NA,ng/g,69
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,1.75,NA,ng/g,69
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,33.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,35.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,49.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,49.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,53.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,57.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,78.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,156,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,167.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,351.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin,Macrolides,353,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Erythromycin-H2O,Macrolides,53.24,99.22000000000001,ng/g,68
sediment,sediment,Guangdong,2017,Florfenicol,Phenicols,10.95,NA,ng/g,69
sediment,sediment,Guangdong,2017,Florfenicol,Phenicols,42.6,NA,ng/g,69
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,0.26,0.52,ng/g,68
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,17.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,21.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,22.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,26.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,27.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,27.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,39.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,56.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,59.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,62.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Lomefloxacin,Fluoroquinolones,91.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,2.32,3.75,ng/g,68
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,3.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,4.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,8.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,13,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,14.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,30.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,33.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,37.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,39.1,NA,ng/g,69
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,143.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,178.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Norfloxacin,Fluoroquinolones,253.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,1,NA,ng/g,69
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,10.05,NA,ng/g,69
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,12.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,18.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,30.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,34.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,41.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,48.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,73.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,76.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,79.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,101.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Ofloxacin,Fluoroquinolones,107.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,13.6,NA,ng/g,69
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,16,NA,ng/g,69
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,17,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,17.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,18.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,19.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,20.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,27,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,51.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,88.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,93.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,119,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Oxytetracycline,Tetracyclines,227.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,2.65,NA,ng/g,69
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,7.65,NA,ng/g,69
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,50.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,51,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,58.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,60.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,135.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,154.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,156.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,184.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,263.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,265.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Roxithromycin,Macrolides,438.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,13,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,13.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,14.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,16.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,24.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,27.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,35.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,44,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,58.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,65.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfacetamide,Sulfonamides,120.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,8.15,NA,ng/g,69
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,15,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,15.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,15.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,17.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,19.4,NA,ng/g,69
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,22.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,24.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,33.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,40.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,47.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,61.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadiazine,Sulfonamides,86.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,5.65,NA,ng/g,69
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,6.3,NA,ng/g,69
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,31.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,41,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,49.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,49.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,68.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,71.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,76.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,160.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,198.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,223.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfadimidine,Sulfonamides,239.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,13.65,NA,ng/g,69
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,18.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,28.15,NA,ng/g,69
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,36.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,39,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,50.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,55.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,56.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,60,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,69.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,80,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,102.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfamethoxazole,Sulfonamides,161.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,30.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,31.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,33.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,33.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,35.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,39.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,41.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,68.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,70.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,83.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Sulfapyridine,Sulfonamides,86.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,5.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,5.75,NA,ng/g,69
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,6.8,NA,ng/g,69
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,9.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,10.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,12.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,13.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,14.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,33,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,35.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,39.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,40.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Tetracycline,Tetracyclines,98.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,4.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,13,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,20.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,33.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,33.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,41.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,43.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,64.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,110.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,240.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2017,Trimethoprim,Diaminopyrimidines,244.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,4.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,7.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,10.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,14.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,20.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,21.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,23.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,24.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,41.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,41.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,57,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,57.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,69.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,124.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,183.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,242.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ciprofloxacin,Fluoroquinolones,280.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,17.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,26.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,33.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,35.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,66.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,78.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,81.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,83.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,86.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,92.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,111.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,150.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,151.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,153,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,156.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,167.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,201.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Erythromycin,Macrolides,208.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,7.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,8.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,14.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,19.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,22.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,23,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,23.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,24.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,26.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,38.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,39.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,50.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,56.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,59.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,69.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,71.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,74.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Lomefloxacin,Fluoroquinolones,91.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,3.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,3.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,8.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,16.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,20.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,24.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,26.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,30.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,33.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,37.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,39.2,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,61.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,127.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,143.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,146.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,154.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,171.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Norfloxacin,Fluoroquinolones,253.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,18.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,34.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,36.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,37.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,41.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,47,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,62.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,72.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,79.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,87.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,101.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,108.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,109.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,117.6,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,128.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,142.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Ofloxacin,Fluoroquinolones,198.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,26.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,35.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,45.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,48.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,52.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,57,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,64.5,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,71.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,78.3,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,93.1,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,93.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,99.4,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,100.7,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,103.8,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,108.9,NA,ng/g dw,N43
sediment,sediment,Guangdong,2018,Oxytetracycline,Tetracyclines,113.8,NA,ng/g dw,N43
