sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link
municipal sludge,Xinjiang,"Xinjiang Uygur Autonomous Region, China",Erythromycin,macrolides,0.542,0.542,mg/kg,2021,NA,"Luan, X., Han, Z., Shen, Y., Yang, M., Zhang, Y., 2021. Assessing the effect of treated erythromycin fermentation residue on antibiotic resistome in soybean planting soil: In situ field study. Science of The Total Environment 779, 146329. https://doi.org/10.1016/j.scitotenv.2021.146329",Wu_2025.csv row 6; sample=Treated residue,N292,Wu_2025.csv,https://doi.org/10.1016/j.scitotenv.2021.146329
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,18.43,18.43,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 8; sample=Mixed residue,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,34.34,34.34,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 9; sample=Mixed residue,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,72.84,72.84,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 10; sample=Mixed residue,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,136.23,136.23,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 11; sample=Mixed residue,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,0.009,0.009,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 12; sample=Composting product,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,0.014,0.014,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 13; sample=Composting product,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,0.095,0.095,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 14; sample=Composting product,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Shaanxi,"Shaanxi Province, China",Erythromycin,macrolides,0.12,0.12,mg/kg,2018,NA,"Zhao, J., Sun, X., Awasthi, M.K., Wang, Q., Ren, X., Li, R., Chen, H., Wang, M., Liu, T., Zhang, Z., 2018. Performance evaluation of gaseous emissions and Zn speciation during Zn-rich antibiotic manufacturing wastes and pig manure composting. Bioresour. Technol. 267, 688–695. https://doi.org/10.1016/j.biortech.2018.07.088",Wu_2025.csv row 15; sample=Composting product,N430,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2018.07.088
municipal sludge,Xinjiang,"Ili, Xinjiang, China",Erythromycin,macrolides,640,660,mg/kg,2019,NA,"Zhang, Y., Liu, H., Xin, Y., Shen, Y., Wang, J., Cai, C., Wang, M., 2019. Erythromycin degradation and ERY-resistant gene inactivation in erythromycin mycelial dreg by heat-activated persulfate oxidation. Chemical Engineering Journal 358, 1446–1453. https://doi.org/10.1016/j.cej.2018.10.157",Wu_2025.csv row 18; sample=Raw residue,N411,Wu_2025.csv,https://doi.org/10.1016/j.cej.2018.10.157
municipal sludge,Xinjiang,"Ili, Xinjiang, China",Erythromycin,macrolides,6.4,6.4,mg/kg,2019,NA,"Zhang, Y., Liu, H., Xin, Y., Shen, Y., Wang, J., Cai, C., Wang, M., 2019. Erythromycin degradation and ERY-resistant gene inactivation in erythromycin mycelial dreg by heat-activated persulfate oxidation. Chemical Engineering Journal 358, 1446–1453. https://doi.org/10.1016/j.cej.2018.10.157",Wu_2025.csv row 19; sample=Treated residue,N411,Wu_2025.csv,https://doi.org/10.1016/j.cej.2018.10.157
municipal sludge,Xinjiang,"Ili, Xinjiang, China",Erythromycin,macrolides,178.96,221.4,mg/kg,2023,NA,"Zhou, J., Wu, Z., Wang, S., Wu, H., Shi, L., Tian, S., Hou, L., 2023. Degradation performance and bioinformatic analysis of graphite electrode electrolysis cells for erythromycin fermentation residue. Journal of Cleaner Production 410, 137289. https://doi.org/10.1016/j.jclepro.2023.137289",Wu_2025.csv row 20; sample=Raw residue,N434,Wu_2025.csv,https://doi.org/10.1016/j.jclepro.2023.137289
municipal sludge,Xinjiang,"Ili, Xinjiang, China",Erythromycin,macrolides,7.6,9.4,mg/kg,2023,NA,"Zhou, J., Wu, Z., Wang, S., Wu, H., Shi, L., Tian, S., Hou, L., 2023. Degradation performance and bioinformatic analysis of graphite electrode electrolysis cells for erythromycin fermentation residue. Journal of Cleaner Production 410, 137289. https://doi.org/10.1016/j.jclepro.2023.137289",Wu_2025.csv row 21; sample=Treated residue,N434,Wu_2025.csv,https://doi.org/10.1016/j.jclepro.2023.137289
municipal sludge,Xinjiang,"Ili, Xinjiang, China",Erythromycin,macrolides,211.04,211.04,mg/kg,2024,NA,"Zhou, J., Wu, H., Wang, H., Wu, Z., Shi, L., Tian, S., Hou, L., 2025. Metagenomics reveals the resistance patterns of electrochemically treated erythromycin fermentation residue. Journal of Environmental Sciences 148, 567–578. https://doi.org/10.1016/j.jes.2024.01.030",Wu_2025.csv row 22; sample=Raw residue,N433,Wu_2025.csv,https://doi.org/10.1016/j.jes.2024.01.030
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,931.3,931.3,mg/kg,2014,NA,"Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045",Wu_2025.csv row 24; sample=Raw residue,N269,Wu_2025.csv,https://doi.org/10.1016/j.watres.2014.05.045
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,289.4,289.4,mg/kg,2014,NA,"Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045",Wu_2025.csv row 25; sample=Anaerobic sludge,N269,Wu_2025.csv,https://doi.org/10.1016/j.watres.2014.05.045
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,153.7,153.7,mg/kg,2014,NA,"Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045",Wu_2025.csv row 26; sample=Anoxic sludge,N269,Wu_2025.csv,https://doi.org/10.1016/j.watres.2014.05.045
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,113.5,113.5,mg/kg,2014,NA,"Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045",Wu_2025.csv row 27; sample=Aerobic sludge,N269,Wu_2025.csv,https://doi.org/10.1016/j.watres.2014.05.045
municipal wastewater influent,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,41.5,41.5,mg/L,2014,NA,"Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045",Wu_2025.csv row 28; sample=Influent,N269,Wu_2025.csv,https://doi.org/10.1016/j.watres.2014.05.045
municipal wastewater effluent,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,3.8,3.8,mg/L,2014,NA,"Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045",Wu_2025.csv row 29; sample=Pretreated effluent,N269,Wu_2025.csv,https://doi.org/10.1016/j.watres.2014.05.045
municipal wastewater effluent,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,3,3,mg/L,2014,NA,"Liu, M., Ding, R., Zhang, Y., Gao, Y., Tian, Z., Zhang, T., Yang, M., 2014. Abundance and distribution of Macrolide-Lincosamide-Streptogramin resistance genes in an anaerobic-aerobic system treating spiramycin production wastewater. Water Research 63, 33–41. https://doi.org/10.1016/j.watres.2014.05.045",Wu_2025.csv row 30; sample=Aerobic reactor effluent,N269,Wu_2025.csv,https://doi.org/10.1016/j.watres.2014.05.045
municipal sludge,Henan,"Henan Province, China",Spiramycin,macrolides,1670,1670,mg/kg,2022,NA,"Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287",Wu_2025.csv row 31; sample=Raw residue,N325,Wu_2025.csv,https://doi.org/10.1016/j.jhazmat.2021.127287
municipal sludge,Henan,"Henan Province, China",Spiramycin,macrolides,24.3,24.3,mg/kg,2022,NA,"Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287",Wu_2025.csv row 32; sample=Treated residue,N325,Wu_2025.csv,https://doi.org/10.1016/j.jhazmat.2021.127287
municipal sludge,Henan,"Henan Province, China",Spiramycin,macrolides,159,159,mg/kg,2022,NA,"Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287",Wu_2025.csv row 33; sample=Pretreated residue,N325,Wu_2025.csv,https://doi.org/10.1016/j.jhazmat.2021.127287
municipal sludge,Henan,"Henan Province, China",Spiramycin,macrolides,2.06,2.06,mg/kg,2022,NA,"Wang, G., Liu, H., Gong, P., Wang, J., Dai, X., Wang, P., 2022. Insight into the evolution of antibiotic resistance genes and microbial community during spiramycin fermentation residue composting process after thermally activated peroxydisulfate pretreatment. J. Hazard. Mater. 424, 127287. https://doi.org/10.1016/j.jhazmat.2021.127287",Wu_2025.csv row 34; sample=Treated residue,N325,Wu_2025.csv,https://doi.org/10.1016/j.jhazmat.2021.127287
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,240.9,250.02,mg/L,2018,NA,"Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256",Wu_2025.csv row 35; sample=Raw residue,N92,Wu_2025.csv,https://doi.org/10.2166/wst.2018.256
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,119.3,119.8,mg/L,2018,NA,"Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256",Wu_2025.csv row 36; sample=Mixed residue,N92,Wu_2025.csv,https://doi.org/10.2166/wst.2018.256
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,1.2,1.5,mg/L,2018,NA,"Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256",Wu_2025.csv row 37; sample=Treated residue,N92,Wu_2025.csv,https://doi.org/10.2166/wst.2018.256
municipal sludge,Jiangsu,"Wuxi, Jiangsu Province, China",Spiramycin,macrolides,107.7,116.81,mg/L,2018,NA,"Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256",Wu_2025.csv row 38; sample=Treated residue,N92,Wu_2025.csv,https://doi.org/10.2166/wst.2018.256
municipal sludge,Ningxia,"Ningxia Hui Autonomous Region, China",Tylosine,macrolides,85,85,mg/kg,2019,NA,"Liao, H., Zhao, Q., Cui, P., Chen, Z., Yu, Z., Geisen, S., Friman, V.-P., Zhou, S., 2019. Efficient reduction of antibiotic residues and associated resistance genes in tylosin antibiotic fermentation waste using hyperthermophilic composting. Environ. Int. 133, 105203. https://doi.org/10.1016/j.envint.2019.105203",Wu_2025.csv row 39; sample=Mixed residue,N260,Wu_2025.csv,https://doi.org/10.1016/j.envint.2019.105203
municipal sludge,Ningxia,"Ningxia Hui Autonomous Region, China",Tylosine,macrolides,4.25,4.25,mg/kg,2019,NA,"Liao, H., Zhao, Q., Cui, P., Chen, Z., Yu, Z., Geisen, S., Friman, V.-P., Zhou, S., 2019. Efficient reduction of antibiotic residues and associated resistance genes in tylosin antibiotic fermentation waste using hyperthermophilic composting. Environ. Int. 133, 105203. https://doi.org/10.1016/j.envint.2019.105203",Wu_2025.csv row 40; sample=Composting product,N260,Wu_2025.csv,https://doi.org/10.1016/j.envint.2019.105203
municipal sludge,Shandong,"Shandong Province, China",Tylosine,macrolides,1200,1350,mg/kg,2018,NA,"Zhang, B., Wang, M.M., Wang, B., Xin, Y., Gao, J., Liu, H., 2018. The effects of bio-available copper on macrolide antibiotic resistance genes and mobile elements during tylosin fermentation dregs co-composting. Bioresour. Technol. 251, 230–237. https://doi.org/10.1016/j.biortech.2017.12.051",Wu_2025.csv row 41; sample=Mixed residue,N385,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2017.12.051
municipal sludge,Shandong,"Shandong Province, China",Tylosine,macrolides,8009,8009,mg/kg,2020,NA,"Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372",Wu_2025.csv row 43; sample=Raw residue,N376,Wu_2025.csv,https://doi.org/10.1016/j.jece.2020.104372
municipal sludge,Shandong,"Shandong Province, China",Tylosine,macrolides,258,258,mg/kg,2020,NA,"Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372",Wu_2025.csv row 44; sample=Pretreated residue,N376,Wu_2025.csv,https://doi.org/10.1016/j.jece.2020.104372
municipal sludge,Shandong,"Shandong Province, China",Tylosine,macrolides,89,89,mg/kg,2020,NA,"Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372",Wu_2025.csv row 45; sample=Mixed residue,N376,Wu_2025.csv,https://doi.org/10.1016/j.jece.2020.104372
municipal sludge,Shandong,"Shandong Province, China",Tylosine,macrolides,3008,3008,mg/kg,2020,NA,"Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372",Wu_2025.csv row 47; sample=Mixed residue,N376,Wu_2025.csv,https://doi.org/10.1016/j.jece.2020.104372
municipal sludge,Shandong,"Shandong Province, China",Tylosine,macrolides,11.3,11.3,mg/kg,2020,NA,"Yang, M., Ma, X., Xie, D., Wu, C., Wang, Q., Gao, M., Xu, M., Liu, S., 2020. A study towards minimising tylosin concentration and antibiotic resistance genes in tylosin fermentation dreg fertilizer. J. Environ. Chem. Eng. 8, 104372. https://doi.org/10.1016/j.jece.2020.104372",Wu_2025.csv row 48; sample=Composting product,N376,Wu_2025.csv,https://doi.org/10.1016/j.jece.2020.104372
municipal sludge,Hebei,"Shijiazhuang, Hebei Province, China",Oxytetracycline,tetracyclines,44102.7,44102.7,mg/kg,2012,NA,"Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m",Wu_2025.csv row 51; sample=Raw residue,N270,Wu_2025.csv,https://doi.org/10.1021/es301145m
municipal wastewater influent,Hebei,"Hebei Province, China",Oxytetracycline,tetracyclines,1277.33,1479.76,mg/L,2012,NA,"Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m",Wu_2025.csv row 52; sample=Raw wastewater,N270,Wu_2025.csv,https://doi.org/10.1021/es301145m
municipal wastewater influent,Hebei,"Hebei Province, China",Oxytetracycline,tetracyclines,6.75,12.36,mg/L,2012,NA,"Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m",Wu_2025.csv row 53; sample=Influent,N270,Wu_2025.csv,https://doi.org/10.1021/es301145m
municipal wastewater effluent,Hebei,"Hebei Province, China",Oxytetracycline,tetracyclines,1.355,2.35,mg/L,2012,NA,"Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m",Wu_2025.csv row 54; sample=Secondary effluent,N270,Wu_2025.csv,https://doi.org/10.1021/es301145m
municipal sludge,Hebei,"Hebei Province, China",Oxytetracycline,tetracyclines,40.7,40.7,mg/kg,2012,NA,"Liu, M., Zhang, Y., Yang, M., Tian, Z., Ren, L., Zhang, S., 2012. Abundance and Distribution of Tetracycline Resistance Genes and Mobile Elements in an Oxytetracycline Production Wastewater Treatment System. Environ. Sci. Technol. 46, 7551–7557. https://doi.org/10.1021/es301145m",Wu_2025.csv row 55; sample=Sludge,N270,Wu_2025.csv,https://doi.org/10.1021/es301145m
municipal sludge,Inner Mongolia,"Inner Mongolia Autonomous Region, China",Oxytetracycline,tetracyclines,1012.99,1012.99,mg/kg,2021,NA,"Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618",Wu_2025.csv row 56; sample=Mixed residue,N158,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2021.125618
municipal sludge,Inner Mongolia,"Inner Mongolia Autonomous Region, China",Oxytetracycline,tetracyclines,83.67,83.67,mg/kg,2021,NA,"Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618",Wu_2025.csv row 57; sample=Composting product,N158,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2021.125618
municipal sludge,Inner Mongolia,"Inner Mongolia Autonomous Region, China",Oxytetracycline,tetracyclines,3.14,3.14,mg/kg,2021,NA,"Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618",Wu_2025.csv row 58; sample=Pretreated residue,N158,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2021.125618
municipal sludge,Inner Mongolia,"Inner Mongolia Autonomous Region, China",Oxytetracycline,tetracyclines,1.97,1.97,mg/kg,2021,NA,"Gong, P., Liu, H., Wang, G., Yao, J., Dai, X., 2021. Enhanced depletion of antibiotics and accelerated estabilization of dissolved organic matter by hydrothermal pretreatment during composting of oxytetracycline fermentation residue. Bioresour. Technol. 339, 125618. https://doi.org/10.1016/j.biortech.2021.125618",Wu_2025.csv row 59; sample=Composting product,N158,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2021.125618
municipal sludge,Hebei,"Shijiazhuang, Hebei Province, China",Oxytetracycline,tetracyclines,884.3,884.3,mg/kg,2023,NA,"Chen, S., Zhong, W., Ning, Z., Niu, J., Feng, J., Qin, X., Li, Z., 2023. Effect of homemade compound microbial inoculum on the reduction of terramycin and antibiotic resistance genes in terramycin mycelial dreg aerobic composting and its mechanism. Bioresour. Technol. 368, 128302. https://doi.org/10.1016/j.biortech.2022.128302",Wu_2025.csv row 60; sample=Mixed residue,N140,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2022.128302
municipal sludge,Hebei,"Shijiazhuang, Hebei Province, China",Oxytetracycline,tetracyclines,7.3,7.3,mg/kg,2023,NA,"Chen, S., Zhong, W., Ning, Z., Niu, J., Feng, J., Qin, X., Li, Z., 2023. Effect of homemade compound microbial inoculum on the reduction of terramycin and antibiotic resistance genes in terramycin mycelial dreg aerobic composting and its mechanism. Bioresour. Technol. 368, 128302. https://doi.org/10.1016/j.biortech.2022.128302",Wu_2025.csv row 61; sample=Composting product,N140,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2022.128302
municipal sludge,Hebei,"Hebei Province, China",Oxytetracycline,tetracyclines,3900,4000,mg/kg,2020,NA,"Awad, M., Tian, Z., Zhang, Y., Yang, M., Yin, W., Dong, L., 2020. Hydrothermal pretreatment of oxytetracycline fermentation residue: Removal of oxytetracycline and increasing the potential for anaerobic digestion. Environmental Engineering Research 26, 200258–0. https://doi.org/10.4491/eer.2020.258",Wu_2025.csv row 62; sample=Raw residue,N93,Wu_2025.csv,https://doi.org/10.4491/eer.2020.258
municipal sludge,Xinjiang,"Xinjiang Uygur Autonomous Region, China",Penicillin,beta-lactams,1750,1863,mg/kg,2024,NA,"Han, Z., Luan, X., Feng, H., Deng, Y., Yang, M., Zhang, Y., 2024. Metagenomic insights into microorganisms and antibiotic resistance genes of waste antibiotic fermentation residues along production, storage and treatment processes. J. Environ. Sci. 136, 45–55. https://doi.org/10.1016/j.jes.2022.10.035",Wu_2025.csv row 67; sample=Raw residue,N169,Wu_2025.csv,https://doi.org/10.1016/j.jes.2022.10.035
municipal sludge,Hebei,"Hebei Province, China",Penicillin,beta-lactams,898.51,956.24,mg/kg,2015,NA,"Zhang, Z., Zhao, J., Yu, C., Dong, S., Zhang, D., Yu, R., Wang, C., Liu, Y., 2015. Evaluation of aerobic co-composting of penicillin fermentation fungi residue with pig manure on penicillin degradation, microbial population dynamics and composting maturity. Bioresour. Technol. 198, 403–409. https://doi.org/10.1016/j.biortech.2015.09.005",Wu_2025.csv row 69; sample=Mixed residue,N418,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2015.09.005
municipal sludge,Hebei,"Hebei Province, China",Penicillin,beta-lactams,0.61,0.64,mg/kg,2015,NA,"Zhang, Z., Zhao, J., Yu, C., Dong, S., Zhang, D., Yu, R., Wang, C., Liu, Y., 2015. Evaluation of aerobic co-composting of penicillin fermentation fungi residue with pig manure on penicillin degradation, microbial population dynamics and composting maturity. Bioresour. Technol. 198, 403–409. https://doi.org/10.1016/j.biortech.2015.09.005",Wu_2025.csv row 70; sample=Composting product,N418,Wu_2025.csv,https://doi.org/10.1016/j.biortech.2015.09.005
